
# Curve 0 of 1, 1020 points
# Curve title: "1/(x**2)"
# x y type
0.0000000e+00 0.0000000e+00  u
2.8557409e-01 1.2262030e+01  i
2.8851816e-01 1.2013062e+01  i
2.9146222e-01 1.1771599e+01  i
2.9440628e-01 1.1537344e+01  i
2.9735034e-01 1.1310013e+01  i
3.0029441e-01 1.1089335e+01  i
3.0323847e-01 1.0875054e+01  i
3.0618253e-01 1.0666923e+01  i
3.0912659e-01 1.0464712e+01  i
3.1207066e-01 1.0268195e+01  i
3.1501472e-01 1.0077163e+01  i
3.1795878e-01 9.8914133e+00  i
3.2090285e-01 9.7107520e+00  i
3.2384691e-01 9.5349954e+00  i
3.2679097e-01 9.3639676e+00  i
3.2973503e-01 9.1975004e+00  i
3.3267910e-01 9.0354330e+00  i
3.3562316e-01 8.8776119e+00  i
3.3856722e-01 8.7238899e+00  i
3.4151129e-01 8.5741264e+00  i
3.4445535e-01 8.4281865e+00  i
3.4739941e-01 8.2859411e+00  i
3.5034347e-01 8.1472667e+00  i
3.5328754e-01 8.0120448e+00  i
3.5623160e-01 7.8801615e+00  i
3.5917566e-01 7.7515080e+00  i
3.6211973e-01 7.6259795e+00  i
3.6506379e-01 7.5034758e+00  i
3.6800785e-01 7.3839004e+00  i
3.7095191e-01 7.2671608e+00  i
3.7389598e-01 7.1531679e+00  i
3.7684004e-01 7.0418362e+00  i
3.7978410e-01 6.9330836e+00  i
3.8272816e-01 6.8268310e+00  i
3.8567223e-01 6.7230024e+00  i
3.8861629e-01 6.6215246e+00  i
3.9156035e-01 6.5223271e+00  i
3.9450442e-01 6.4253422e+00  i
3.9744848e-01 6.3305045e+00  i
4.0039254e-01 6.2377511e+00  i
4.0333660e-01 6.1470214e+00  i
4.0628067e-01 6.0582569e+00  i
4.0922473e-01 5.9714013e+00  i
4.1216879e-01 5.8864002e+00  i
4.1511286e-01 5.8032013e+00  i
4.1805692e-01 5.7217538e+00  i
4.2100098e-01 5.6420091e+00  i
4.2394504e-01 5.5639200e+00  i
4.2688911e-01 5.4874409e+00  i
4.2983317e-01 5.4125279e+00  i
4.3277723e-01 5.3391385e+00  i
4.3572130e-01 5.2672318e+00  i
4.3866536e-01 5.1967679e+00  i
4.4160942e-01 5.1277086e+00  i
4.4455348e-01 5.0600169e+00  i
4.4749755e-01 4.9936567e+00  i
4.5044161e-01 4.9285935e+00  i
4.5338567e-01 4.8647936e+00  i
4.5632974e-01 4.8022245e+00  i
4.5927380e-01 4.7408549e+00  i
4.6221786e-01 4.6806542e+00  i
4.6516192e-01 4.6215929e+00  i
4.6810599e-01 4.5636424e+00  i
4.7105005e-01 4.5067752e+00  i
4.7399411e-01 4.4509643e+00  i
4.7693817e-01 4.3961837e+00  i
4.7988224e-01 4.3424082e+00  i
4.8282630e-01 4.2896135e+00  i
4.8577036e-01 4.2377757e+00  i
4.8871443e-01 4.1868720e+00  i
4.9165849e-01 4.1368799e+00  i
4.9460255e-01 4.0877779e+00  i
4.9754661e-01 4.0395450e+00  i
5.0049068e-01 3.9921607e+00  i
5.0343474e-01 3.9456053e+00  i
5.0637880e-01 3.8998595e+00  i
5.0932287e-01 3.8549048e+00  i
5.1226693e-01 3.8107228e+00  i
5.1521099e-01 3.7672961e+00  i
5.1815505e-01 3.7246076e+00  i
5.2109912e-01 3.6826405e+00  i
5.2404318e-01 3.6413788e+00  i
5.2698724e-01 3.6008066e+00  i
5.2993131e-01 3.5609088e+00  i
5.3287537e-01 3.5216704e+00  i
5.3581943e-01 3.4830771e+00  i
5.3876349e-01 3.4451146e+00  i
5.4170756e-01 3.4077695e+00  i
5.4465162e-01 3.3710283e+00  i
5.4759568e-01 3.3348781e+00  i
5.5053974e-01 3.2993064e+00  i
5.5348381e-01 3.2643007e+00  i
5.5642787e-01 3.2298492e+00  i
5.5937193e-01 3.1959403e+00  i
5.6231600e-01 3.1625626e+00  i
5.6526006e-01 3.1297050e+00  i
5.6820412e-01 3.0973568e+00  i
5.7114818e-01 3.0655076e+00  i
5.7409225e-01 3.0341471e+00  i
5.7703631e-01 3.0032654e+00  i
5.7998037e-01 2.9728528e+00  i
5.8292444e-01 2.9428998e+00  i
5.8586850e-01 2.9133972e+00  i
5.8881256e-01 2.8843361e+00  i
5.9175662e-01 2.8557076e+00  i
5.9470069e-01 2.8275033e+00  i
5.9764475e-01 2.7997147e+00  i
6.0058881e-01 2.7723338e+00  i
6.0353288e-01 2.7453526e+00  i
6.0647694e-01 2.7187634e+00  i
6.0942100e-01 2.6925586e+00  i
6.1236506e-01 2.6667309e+00  i
6.1530913e-01 2.6412730e+00  i
6.1825319e-01 2.6161779e+00  i
6.2119725e-01 2.5914387e+00  i
6.2414132e-01 2.5670489e+00  i
6.2708538e-01 2.5430017e+00  i
6.3002944e-01 2.5192909e+00  i
6.3297350e-01 2.4959101e+00  i
6.3591757e-01 2.4728533e+00  i
6.3886163e-01 2.4501146e+00  i
6.4180569e-01 2.4276880e+00  i
6.4474975e-01 2.4055679e+00  i
6.4769382e-01 2.3837489e+00  i
6.5063788e-01 2.3622253e+00  i
6.5358194e-01 2.3409919e+00  i
6.5652601e-01 2.3200435e+00  i
6.5947007e-01 2.2993751e+00  i
6.6241413e-01 2.2789816e+00  i
6.6535819e-01 2.2588583e+00  i
6.6830226e-01 2.2390003e+00  i
6.7124632e-01 2.2194030e+00  i
6.7419038e-01 2.2000619e+00  i
6.7713445e-01 2.1809725e+00  i
6.8007851e-01 2.1621305e+00  i
6.8302257e-01 2.1435316e+00  i
6.8596663e-01 2.1251717e+00  i
6.8891070e-01 2.1070466e+00  i
6.9185476e-01 2.0891525e+00  i
6.9479882e-01 2.0714853e+00  i
6.9774289e-01 2.0540413e+00  i
7.0068695e-01 2.0368167e+00  i
7.0363101e-01 2.0198079e+00  i
7.0657507e-01 2.0030112e+00  i
7.0951914e-01 1.9864232e+00  i
7.1246320e-01 1.9700404e+00  i
7.1540726e-01 1.9538594e+00  i
7.1835132e-01 1.9378770e+00  i
7.2129539e-01 1.9220899e+00  i
7.2423945e-01 1.9064949e+00  i
7.2718351e-01 1.8910889e+00  i
7.3012758e-01 1.8758690e+00  i
7.3307164e-01 1.8608320e+00  i
7.3601570e-01 1.8459751e+00  i
7.3895976e-01 1.8312954e+00  i
7.4190383e-01 1.8167902e+00  i
7.4484789e-01 1.8024566e+00  i
7.4779195e-01 1.7882920e+00  i
7.5073602e-01 1.7742936e+00  i
7.5368008e-01 1.7604591e+00  i
7.5662414e-01 1.7467856e+00  i
7.5956820e-01 1.7332709e+00  i
7.6251227e-01 1.7199124e+00  i
7.6545633e-01 1.7067078e+00  i
7.6840039e-01 1.6936546e+00  i
7.7134446e-01 1.6807506e+00  i
7.7428852e-01 1.6679935e+00  i
7.7723258e-01 1.6553811e+00  i
7.8017664e-01 1.6429113e+00  i
7.8312071e-01 1.6305818e+00  i
7.8606477e-01 1.6183906e+00  i
7.8900883e-01 1.6063355e+00  i
7.9195289e-01 1.5944147e+00  i
7.9489696e-01 1.5826261e+00  i
7.9784102e-01 1.5709678e+00  i
8.0078508e-01 1.5594378e+00  i
8.0372915e-01 1.5480342e+00  i
8.0667321e-01 1.5367553e+00  i
8.0961727e-01 1.5255993e+00  i
8.1256133e-01 1.5145642e+00  i
8.1550540e-01 1.5036485e+00  i
8.1844946e-01 1.4928503e+00  i
8.2139352e-01 1.4821681e+00  i
8.2433759e-01 1.4716001e+00  i
8.2728165e-01 1.4611447e+00  i
8.3022571e-01 1.4508003e+00  i
8.3316977e-01 1.4405654e+00  i
8.3611384e-01 1.4304385e+00  i
8.3905790e-01 1.4204179e+00  i
8.4200196e-01 1.4105023e+00  i
8.4494603e-01 1.4006901e+00  i
8.4789009e-01 1.3909800e+00  i
8.5083415e-01 1.3813705e+00  i
8.5377821e-01 1.3718602e+00  i
8.5672228e-01 1.3624478e+00  i
8.5966634e-01 1.3531320e+00  i
8.6261040e-01 1.3439113e+00  i
8.6555447e-01 1.3347846e+00  i
8.6849853e-01 1.3257506e+00  i
8.7144259e-01 1.3168079e+00  i
8.7438665e-01 1.3079555e+00  i
8.7733072e-01 1.2991920e+00  i
8.8027478e-01 1.2905163e+00  i
8.8321884e-01 1.2819272e+00  i
8.8616290e-01 1.2734235e+00  i
8.8910697e-01 1.2650042e+00  i
8.9205103e-01 1.2566681e+00  i
8.9499509e-01 1.2484142e+00  i
8.9793916e-01 1.2402413e+00  i
9.0088322e-01 1.2321484e+00  i
9.0382728e-01 1.2241344e+00  i
9.0677134e-01 1.2161984e+00  i
9.0971541e-01 1.2083393e+00  i
9.1265947e-01 1.2005561e+00  i
9.1560353e-01 1.1928479e+00  i
9.1854760e-01 1.1852137e+00  i
9.2149166e-01 1.1776526e+00  i
9.2443572e-01 1.1701635e+00  i
9.2737978e-01 1.1627457e+00  i
9.3032385e-01 1.1553982e+00  i
9.3326791e-01 1.1481201e+00  i
9.3621197e-01 1.1409106e+00  i
9.3915604e-01 1.1337688e+00  i
9.4210010e-01 1.1266938e+00  i
9.4504416e-01 1.1196848e+00  i
9.4798822e-01 1.1127411e+00  i
9.5093229e-01 1.1058617e+00  i
9.5387635e-01 1.0990459e+00  i
9.5682041e-01 1.0922930e+00  i
9.5976447e-01 1.0856021e+00  i
9.6270854e-01 1.0789724e+00  i
9.6565260e-01 1.0724034e+00  i
9.6859666e-01 1.0658941e+00  i
9.7154073e-01 1.0594439e+00  i
9.7448479e-01 1.0530521e+00  i
9.7742885e-01 1.0467180e+00  i
9.8037291e-01 1.0404408e+00  i
9.8331698e-01 1.0342200e+00  i
9.8626104e-01 1.0280548e+00  i
9.8920510e-01 1.0219445e+00  i
9.9214917e-01 1.0158885e+00  i
9.9509323e-01 1.0098862e+00  i
9.9803729e-01 1.0039370e+00  i
1.0009814e+00 9.9804018e-01  i
1.0039254e+00 9.9219515e-01  i
1.0068695e+00 9.8640132e-01  i
1.0098135e+00 9.8065810e-01  i
1.0127576e+00 9.7496488e-01  i
1.0157017e+00 9.6932110e-01  i
1.0186457e+00 9.6372619e-01  i
1.0215898e+00 9.5817957e-01  i
1.0245339e+00 9.5268071e-01  i
1.0274779e+00 9.4722904e-01  i
1.0304220e+00 9.4182404e-01  i
1.0333660e+00 9.3646516e-01  i
1.0363101e+00 9.3115190e-01  i
1.0392542e+00 9.2588372e-01  i
1.0421982e+00 9.2066013e-01  i
1.0451423e+00 9.1548061e-01  i
1.0480864e+00 9.1034469e-01  i
1.0510304e+00 9.0525186e-01  i
1.0539745e+00 9.0020165e-01  i
1.0569185e+00 8.9519359e-01  i
1.0598626e+00 8.9022719e-01  i
1.0628067e+00 8.8530202e-01  i
1.0657507e+00 8.8041760e-01  i
1.0686948e+00 8.7557350e-01  i
1.0716389e+00 8.7076926e-01  i
1.0745829e+00 8.6600446e-01  i
1.0775270e+00 8.6127866e-01  i
1.0804711e+00 8.5659144e-01  i
1.0834151e+00 8.5194238e-01  i
1.0863592e+00 8.4733106e-01  i
1.0893032e+00 8.4275708e-01  i
1.0922473e+00 8.3822004e-01  i
1.0951914e+00 8.3371954e-01  i
1.0981354e+00 8.2925518e-01  i
1.1010795e+00 8.2482659e-01  i
1.1040236e+00 8.2043338e-01  i
1.1069676e+00 8.1607518e-01  i
1.1099117e+00 8.1175161e-01  i
1.1128557e+00 8.0746231e-01  i
1.1157998e+00 8.0320691e-01  i
1.1187439e+00 7.9898507e-01  i
1.1216879e+00 7.9479643e-01  i
1.1246320e+00 7.9064064e-01  i
1.1275761e+00 7.8651736e-01  i
1.1305201e+00 7.8242625e-01  i
1.1334642e+00 7.7836697e-01  i
1.1364082e+00 7.7433921e-01  i
1.1393523e+00 7.7034262e-01  i
1.1422964e+00 7.6637690e-01  i
1.1452404e+00 7.6244173e-01  i
1.1481845e+00 7.5853678e-01  i
1.1511286e+00 7.5466176e-01  i
1.1540726e+00 7.5081636e-01  i
1.1570167e+00 7.4700027e-01  i
1.1599607e+00 7.4321320e-01  i
1.1629048e+00 7.3945486e-01  i
1.1658489e+00 7.3572495e-01  i
1.1687929e+00 7.3202320e-01  i
1.1717370e+00 7.2834931e-01  i
1.1746811e+00 7.2470301e-01  i
1.1776251e+00 7.2108403e-01  i
1.1805692e+00 7.1749208e-01  i
1.1835132e+00 7.1392691e-01  i
1.1864573e+00 7.1038824e-01  i
1.1894014e+00 7.0687582e-01  i
1.1923454e+00 7.0338939e-01  i
1.1952895e+00 6.9992868e-01  i
1.1982336e+00 6.9649346e-01  i
1.2011776e+00 6.9308346e-01  i
1.2041217e+00 6.8969844e-01  i
1.2070658e+00 6.8633816e-01  i
1.2100098e+00 6.8300238e-01  i
1.2129539e+00 6.7969085e-01  i
1.2158979e+00 6.7640336e-01  i
1.2188420e+00 6.7313966e-01  i
1.2217861e+00 6.6989952e-01  i
1.2247301e+00 6.6668272e-01  i
1.2276742e+00 6.6348903e-01  i
1.2306183e+00 6.6031824e-01  i
1.2335623e+00 6.5717013e-01  i
1.2365064e+00 6.5404447e-01  i
1.2394504e+00 6.5094106e-01  i
1.2423945e+00 6.4785969e-01  i
1.2453386e+00 6.4480014e-01  i
1.2482826e+00 6.4176222e-01  i
1.2512267e+00 6.3874571e-01  i
1.2541708e+00 6.3575043e-01  i
1.2571148e+00 6.3277616e-01  i
1.2600589e+00 6.2982272e-01  i
1.2630029e+00 6.2688990e-01  i
1.2659470e+00 6.2397753e-01  i
1.2688911e+00 6.2108540e-01  i
1.2718351e+00 6.1821333e-01  i
1.2747792e+00 6.1536114e-01  i
1.2777233e+00 6.1252864e-01  i
1.2806673e+00 6.0971565e-01  i
1.2836114e+00 6.0692200e-01  i
1.2865554e+00 6.0414750e-01  i
1.2894995e+00 6.0139199e-01  i
1.2924436e+00 5.9865528e-01  i
1.2953876e+00 5.9593721e-01  i
1.2983317e+00 5.9323761e-01  i
1.3012758e+00 5.9055632e-01  i
1.3042198e+00 5.8789316e-01  i
1.3071639e+00 5.8524797e-01  i
1.3101079e+00 5.8262060e-01  i
1.3130520e+00 5.8001088e-01  i
1.3159961e+00 5.7741866e-01  i
1.3189401e+00 5.7484377e-01  i
1.3218842e+00 5.7228607e-01  i
1.3248283e+00 5.6974540e-01  i
1.3277723e+00 5.6722162e-01  i
1.3307164e+00 5.6471456e-01  i
1.3336605e+00 5.6222410e-01  i
1.3366045e+00 5.5975007e-01  i
1.3395486e+00 5.5729233e-01  i
1.3424926e+00 5.5485074e-01  i
1.3454367e+00 5.5242517e-01  i
1.3483808e+00 5.5001547e-01  i
1.3513248e+00 5.4762150e-01  i
1.3542689e+00 5.4524312e-01  i
1.3572130e+00 5.4288021e-01  i
1.3601570e+00 5.4053262e-01  i
1.3631011e+00 5.3820023e-01  i
1.3660451e+00 5.3588290e-01  i
1.3689892e+00 5.3358050e-01  i
1.3719333e+00 5.3129292e-01  i
1.3748773e+00 5.2902001e-01  i
1.3778214e+00 5.2676165e-01  i
1.3807655e+00 5.2451773e-01  i
1.3837095e+00 5.2228811e-01  i
1.3866536e+00 5.2007268e-01  i
1.3895976e+00 5.1787132e-01  i
1.3925417e+00 5.1568391e-01  i
1.3954858e+00 5.1351032e-01  i
1.3984298e+00 5.1135045e-01  i
1.4013739e+00 5.0920417e-01  i
1.4043180e+00 5.0707138e-01  i
1.4072620e+00 5.0495196e-01  i
1.4102061e+00 5.0284581e-01  i
1.4131501e+00 5.0075280e-01  i
1.4160942e+00 4.9867283e-01  i
1.4190383e+00 4.9660579e-01  i
1.4219823e+00 4.9455158e-01  i
1.4249264e+00 4.9251009e-01  i
1.4278705e+00 4.9048122e-01  i
1.4308145e+00 4.8846485e-01  i
1.4337586e+00 4.8646090e-01  i
1.4367026e+00 4.8446925e-01  i
1.4396467e+00 4.8248980e-01  i
1.4425908e+00 4.8052247e-01  i
1.4455348e+00 4.7856714e-01  i
1.4484789e+00 4.7662372e-01  i
1.4514230e+00 4.7469212e-01  i
1.4543670e+00 4.7277223e-01  i
1.4573111e+00 4.7086397e-01  i
1.4602552e+00 4.6896724e-01  i
1.4631992e+00 4.6708195e-01  i
1.4661433e+00 4.6520800e-01  i
1.4690873e+00 4.6334531e-01  i
1.4720314e+00 4.6149378e-01  i
1.4749755e+00 4.5965333e-01  i
1.4779195e+00 4.5782386e-01  i
1.4808636e+00 4.5600530e-01  i
1.4838077e+00 4.5419755e-01  i
1.4867517e+00 4.5240053e-01  i
1.4896958e+00 4.5061415e-01  i
1.4926398e+00 4.4883833e-01  i
1.4955839e+00 4.4707299e-01  i
1.4985280e+00 4.4531805e-01  i
1.5014720e+00 4.4357341e-01  i
1.5044161e+00 4.4183901e-01  i
1.5073602e+00 4.4011476e-01  i
1.5103042e+00 4.3840059e-01  i
1.5132483e+00 4.3669641e-01  i
1.5161923e+00 4.3500215e-01  i
1.5191364e+00 4.3331773e-01  i
1.5220805e+00 4.3164307e-01  i
1.5250245e+00 4.2997810e-01  i
1.5279686e+00 4.2832275e-01  i
1.5309127e+00 4.2667694e-01  i
1.5338567e+00 4.2504060e-01  i
1.5368008e+00 4.2341365e-01  i
1.5397448e+00 4.2179602e-01  i
1.5426889e+00 4.2018765e-01  i
1.5456330e+00 4.1858846e-01  i
1.5485770e+00 4.1699838e-01  i
1.5515211e+00 4.1541735e-01  i
1.5544652e+00 4.1384529e-01  i
1.5574092e+00 4.1228213e-01  i
1.5603533e+00 4.1072782e-01  i
1.5632974e+00 4.0918228e-01  i
1.5662414e+00 4.0764545e-01  i
1.5691855e+00 4.0611725e-01  i
1.5721295e+00 4.0459764e-01  i
1.5750736e+00 4.0308654e-01  i
1.5780177e+00 4.0158389e-01  i
1.5809617e+00 4.0008962e-01  i
1.5839058e+00 3.9860368e-01  i
1.5868499e+00 3.9712601e-01  i
1.5897939e+00 3.9565653e-01  i
1.5927380e+00 3.9419520e-01  i
1.5956820e+00 3.9274194e-01  i
1.5986261e+00 3.9129671e-01  i
1.6015702e+00 3.8985944e-01  i
1.6045142e+00 3.8843008e-01  i
1.6074583e+00 3.8700856e-01  i
1.6104024e+00 3.8559483e-01  i
1.6133464e+00 3.8418884e-01  i
1.6162905e+00 3.8279052e-01  i
1.6192345e+00 3.8139982e-01  i
1.6221786e+00 3.8001668e-01  i
1.6251227e+00 3.7864106e-01  i
1.6280667e+00 3.7727289e-01  i
1.6310108e+00 3.7591212e-01  i
1.6339549e+00 3.7455870e-01  i
1.6368989e+00 3.7321258e-01  i
1.6398430e+00 3.7187370e-01  i
1.6427870e+00 3.7054202e-01  i
1.6457311e+00 3.6921747e-01  i
1.6486752e+00 3.6790001e-01  i
1.6516192e+00 3.6658960e-01  i
1.6545633e+00 3.6528617e-01  i
1.6575074e+00 3.6398968e-01  i
1.6604514e+00 3.6270008e-01  i
1.6633955e+00 3.6141732e-01  i
1.6663395e+00 3.6014136e-01  i
1.6692836e+00 3.5887214e-01  i
1.6722277e+00 3.5760962e-01  i
1.6751717e+00 3.5635374e-01  i
1.6781158e+00 3.5510448e-01  i
1.6810599e+00 3.5386177e-01  i
1.6840039e+00 3.5262557e-01  i
1.6869480e+00 3.5139584e-01  i
1.6898921e+00 3.5017253e-01  i
1.6928361e+00 3.4895560e-01  i
1.6957802e+00 3.4774500e-01  i
1.6987242e+00 3.4654069e-01  i
1.7016683e+00 3.4534262e-01  i
1.7046124e+00 3.4415076e-01  i
1.7075564e+00 3.4296505e-01  i
1.7105005e+00 3.4178547e-01  i
1.7134446e+00 3.4061196e-01  i
1.7163886e+00 3.3944448e-01  i
1.7193327e+00 3.3828299e-01  i
1.7222767e+00 3.3712746e-01  i
1.7252208e+00 3.3597783e-01  i
1.7281649e+00 3.3483408e-01  i
1.7311089e+00 3.3369616e-01  i
1.7340530e+00 3.3256403e-01  i
1.7369971e+00 3.3143765e-01  i
1.7399411e+00 3.3031698e-01  i
1.7428852e+00 3.2920198e-01  i
1.7458292e+00 3.2809263e-01  i
1.7487733e+00 3.2698887e-01  i
1.7517174e+00 3.2589067e-01  i
1.7546614e+00 3.2479799e-01  i
1.7576055e+00 3.2371081e-01  i
1.7605496e+00 3.2262907e-01  i
1.7634936e+00 3.2155274e-01  i
1.7664377e+00 3.2048179e-01  i
1.7693817e+00 3.1941618e-01  i
1.7723258e+00 3.1835588e-01  i
1.7752699e+00 3.1730085e-01  i
1.7782139e+00 3.1625105e-01  i
1.7811580e+00 3.1520646e-01  i
1.7841021e+00 3.1416703e-01  i
1.7870461e+00 3.1313274e-01  i
1.7899902e+00 3.1210354e-01  i
1.7929342e+00 3.1107941e-01  i
1.7958783e+00 3.1006032e-01  i
1.7988224e+00 3.0904622e-01  i
1.8017664e+00 3.0803709e-01  i
1.8047105e+00 3.0703290e-01  i
1.8076546e+00 3.0603360e-01  i
1.8105986e+00 3.0503918e-01  i
1.8135427e+00 3.0404960e-01  i
1.8164868e+00 3.0306482e-01  i
1.8194308e+00 3.0208482e-01  i
1.8223749e+00 3.0110957e-01  i
1.8253189e+00 3.0013903e-01  i
1.8282630e+00 2.9917318e-01  i
1.8312071e+00 2.9821198e-01  i
1.8341511e+00 2.9725541e-01  i
1.8370952e+00 2.9630343e-01  i
1.8400393e+00 2.9535602e-01  i
1.8429833e+00 2.9441314e-01  i
1.8459274e+00 2.9347477e-01  i
1.8488714e+00 2.9254089e-01  i
1.8518155e+00 2.9161145e-01  i
1.8547596e+00 2.9068643e-01  i
1.8577036e+00 2.8976581e-01  i
1.8606477e+00 2.8884955e-01  i
1.8635918e+00 2.8793764e-01  i
1.8665358e+00 2.8703003e-01  i
1.8694799e+00 2.8612671e-01  i
1.8724239e+00 2.8522765e-01  i
1.8753680e+00 2.8433282e-01  i
1.8783121e+00 2.8344219e-01  i
1.8812561e+00 2.8255575e-01  i
1.8842002e+00 2.8167345e-01  i
1.8871443e+00 2.8079528e-01  i
1.8900883e+00 2.7992121e-01  i
1.8930324e+00 2.7905121e-01  i
1.8959764e+00 2.7818527e-01  i
1.8989205e+00 2.7732334e-01  i
1.9018646e+00 2.7646542e-01  i
1.9048086e+00 2.7561148e-01  i
1.9077527e+00 2.7476148e-01  i
1.9106968e+00 2.7391541e-01  i
1.9136408e+00 2.7307324e-01  i
1.9165849e+00 2.7223495e-01  i
1.9195289e+00 2.7140051e-01  i
1.9224730e+00 2.7056991e-01  i
1.9254171e+00 2.6974311e-01  i
1.9283611e+00 2.6892010e-01  i
1.9313052e+00 2.6810084e-01  i
1.9342493e+00 2.6728533e-01  i
1.9371933e+00 2.6647353e-01  i
1.9401374e+00 2.6566542e-01  i
1.9430815e+00 2.6486098e-01  i
1.9460255e+00 2.6406019e-01  i
1.9489696e+00 2.6326303e-01  i
1.9519136e+00 2.6246947e-01  i
1.9548577e+00 2.6167950e-01  i
1.9578018e+00 2.6089308e-01  i
1.9607458e+00 2.6011021e-01  i
1.9636899e+00 2.5933085e-01  i
1.9666340e+00 2.5855500e-01  i
1.9695780e+00 2.5778261e-01  i
1.9725221e+00 2.5701369e-01  i
1.9754661e+00 2.5624820e-01  i
1.9784102e+00 2.5548612e-01  i
1.9813543e+00 2.5472744e-01  i
1.9842983e+00 2.5397213e-01  i
1.9872424e+00 2.5322018e-01  i
1.9901865e+00 2.5247156e-01  i
1.9931305e+00 2.5172626e-01  i
1.9960746e+00 2.5098425e-01  i
1.9990186e+00 2.5024552e-01  i
2.0019627e+00 2.4951004e-01  i
2.0049068e+00 2.4877781e-01  i
2.0078508e+00 2.4804879e-01  i
2.0107949e+00 2.4732297e-01  i
2.0137390e+00 2.4660033e-01  i
2.0166830e+00 2.4588086e-01  i
2.0196271e+00 2.4516452e-01  i
2.0225711e+00 2.4445132e-01  i
2.0255152e+00 2.4374122e-01  i
2.0284593e+00 2.4303421e-01  i
2.0314033e+00 2.4233028e-01  i
2.0343474e+00 2.4162939e-01  i
2.0372915e+00 2.4093155e-01  i
2.0402355e+00 2.4023672e-01  i
2.0431796e+00 2.3954489e-01  i
